timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2025/08/22 17:19:12.991, 25 %, 0 %, 1144 MiB, 81920 MiB, 67.01 W, 39
2025/08/22 17:19:22.995, 6 %, 0 %, 1144 MiB, 81920 MiB, 65.79 W, 39
2025/08/22 17:19:32.999, 6 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:19:43.003, 0 %, 0 %, 1144 MiB, 81920 MiB, 65.13 W, 39
2025/08/22 17:19:53.008, 11 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:20:03.012, 15 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:20:13.017, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:20:23.020, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:20:33.024, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:20:43.028, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:20:53.032, 3 %, 0 %, 1144 MiB, 81920 MiB, 66.68 W, 39
2025/08/22 17:21:03.036, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:21:13.041, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:21:23.044, 20 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:21:33.048, 7 %, 0 %, 1144 MiB, 81920 MiB, 67.29 W, 39
2025/08/22 17:21:43.052, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:21:53.057, 1 %, 0 %, 1144 MiB, 81920 MiB, 66.40 W, 39
2025/08/22 17:22:03.062, 11 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:22:13.065, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:22:23.069, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.85 W, 38
2025/08/22 17:22:33.073, 5 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:22:43.077, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 38
2025/08/22 17:22:53.082, 15 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:23:03.086, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.85 W, 39
2025/08/22 17:23:13.090, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:23:23.094, 2 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:23:33.098, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:23:43.101, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 38
2025/08/22 17:23:53.105, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:24:03.109, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:24:13.115, 7 %, 0 %, 1144 MiB, 81920 MiB, 66.68 W, 39
2025/08/22 17:24:23.119, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:24:33.123, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:24:43.127, 14 %, 0 %, 1144 MiB, 81920 MiB, 66.07 W, 39
2025/08/22 17:24:53.131, 12 %, 0 %, 1144 MiB, 81920 MiB, 66.07 W, 39
2025/08/22 17:25:03.135, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:25:13.139, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:25:23.143, 16 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:25:33.147, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:25:43.150, 0 %, 0 %, 1144 MiB, 81920 MiB, 66.68 W, 38
2025/08/22 17:25:53.154, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:26:03.159, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 38
2025/08/22 17:26:13.163, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:26:23.167, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:26:33.170, 23 %, 0 %, 1144 MiB, 81920 MiB, 66.68 W, 39
2025/08/22 17:26:43.174, 12 %, 0 %, 1144 MiB, 81920 MiB, 65.79 W, 39
2025/08/22 17:26:53.177, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:27:03.181, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:27:13.187, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:27:23.190, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:27:33.195, 17 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:27:43.199, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:27:53.203, 8 %, 0 %, 1144 MiB, 81920 MiB, 65.13 W, 38
2025/08/22 17:28:03.207, 8 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:28:13.211, 7 %, 0 %, 1144 MiB, 81920 MiB, 68.56 W, 38
2025/08/22 17:28:23.214, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:28:33.219, 6 %, 0 %, 1144 MiB, 81920 MiB, 65.79 W, 38
2025/08/22 17:28:43.223, 1 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:28:53.226, 1 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:29:03.230, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:29:13.234, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:29:23.238, 11 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:29:33.242, 7 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:29:43.246, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:29:53.250, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:30:03.254, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
